cell_type	target	binding	perb_score
Early_Braak_L6_CT	APP	agonist	1.05936781273696e-09
Early_Braak_L4_IT	APP	agonist	1.16971811425881e-09
Early_Braak_Astro	APP	agonist	2.20169441068663e-09
Early_Braak_Endo	APP	agonist	6.43485932272391e-10
Early_Braak_Chandelier	APP	agonist	3.6118471514432e-09
Early_Braak_L6_IT	APP	agonist	1.45488821814644e-09
Early_Braak_Sst	APP	agonist	8.05559916987314e-11
Early_Braak_VLMC	APP	agonist	9.13278012544979e-10
Early_Braak_Sncg	APP	agonist	4.30250905037953e-09
Early_Braak_OPC	APP	agonist	3.31520498230721e-09
Early_Braak_L5_ET	APP	agonist	3.88283740425057e-09
Early_Braak_L6_IT_Car3	APP	agonist	3.18875277627601e-09
Early_Braak_L2_3_IT	APP	agonist	3.66307854907119e-11
Early_Braak_L6b	APP	agonist	1.44564879087768e-09
Early_Braak_Micro-PVM	APP	agonist	6.4546344944013e-10
Early_Braak_Pax6	APP	agonist	8.37086278402771e-09
Early_Braak_L5_6_NP	APP	agonist	4.84133757662277e-09
Early_Braak_Lamp5	APP	agonist	4.73577669409976e-09
Early_Braak_Sst_Chodl	APP	agonist	2.82566576483061e-09
Early_Braak_Oligo	APP	agonist	1.06192345595868e-08
Early_Braak_Vip	APP	agonist	2.64182496623902e-10
Early_Braak_Pvalb	APP	agonist	7.92045654222619e-10
Early_Braak_Lamp5_Lhx6	APP	agonist	3.58917630053614e-09
Early_Braak_L5_IT	APP	agonist	3.4081268509772e-09
Late_Braak_L2_3_IT	APP	agonist	2.73475811284129e-09
Late_Braak_Chandelier	APP	agonist	2.59456786762048e-09
Late_Braak_L5_6_NP	APP	agonist	2.51273450842866e-09
Late_Braak_L6_IT	APP	agonist	1.36354999425284e-09
Late_Braak_Astro	APP	agonist	1.66664393386036e-09
Late_Braak_L6_CT	APP	agonist	1.21743152922972e-09
Late_Braak_Endo	APP	agonist	2.38307991492952e-10
Late_Braak_L5_IT	APP	agonist	1.90443337323223e-09
Late_Braak_L5_ET	APP	agonist	1.22293790711926e-09
Late_Braak_OPC	APP	agonist	5.6344676096667e-10
Late_Braak_L4_IT	APP	agonist	3.42328683978783e-09
Late_Braak_L6b	APP	agonist	8.94892671649133e-10
Late_Braak_Pax6	APP	agonist	2.40067974670892e-09
Late_Braak_Lamp5_Lhx6	APP	agonist	3.37593125638311e-09
Late_Braak_L6_IT_Car3	APP	agonist	1.90836554123535e-09
Late_Braak_Micro-PVM	APP	agonist	1.03046911403558e-09
Late_Braak_Lamp5	APP	agonist	2.80565634094121e-09
Late_Braak_Sst_Chodl	APP	agonist	5.36552440627808e-10
Late_Braak_Sncg	APP	agonist	1.90002602522232e-09
Late_Braak_Vip	APP	agonist	1.60919302398856e-09
Late_Braak_Pvalb	APP	agonist	3.72630151824288e-09
Late_Braak_Oligo	APP	agonist	9.28349179913917e-10
Late_Braak_Sst	APP	agonist	1.33538989559387e-09
Late_Braak_VLMC	APP	agonist	7.52391349419405e-10
Early_Braak_L6_CT	ADRA2A	agonist	1.13371175726497e-10
Early_Braak_L4_IT	ADRA2A	agonist	9.25376533848212e-11
Early_Braak_Astro	ADRA2A	agonist	4.82303043838126e-17
Early_Braak_Endo	ADRA2A	agonist	1.48214838758361e-17
Early_Braak_Chandelier	ADRA2A	agonist	1.99983945594427e-10
Early_Braak_L6_IT	ADRA2A	agonist	7.34749664839033e-11
Early_Braak_Sst	ADRA2A	agonist	3.05484606879994e-10
Early_Braak_VLMC	ADRA2A	agonist	6.32695523071043e-10
Early_Braak_Sncg	ADRA2A	agonist	6.02885235178021e-11
Early_Braak_OPC	ADRA2A	agonist	1.70017213148465e-11
Early_Braak_L5_ET	ADRA2A	agonist	4.68368529547714e-10
Early_Braak_L6_IT_Car3	ADRA2A	agonist	5.29605926614205e-11
Early_Braak_L2_3_IT	ADRA2A	agonist	2.280391303995e-11
Early_Braak_L6b	ADRA2A	agonist	2.56560743485217e-10
Early_Braak_Micro-PVM	ADRA2A	agonist	1.2266347333467e-17
Early_Braak_Pax6	ADRA2A	agonist	4.6603465888098e-11
Early_Braak_L5_6_NP	ADRA2A	agonist	5.70788246833879e-11
Early_Braak_Lamp5	ADRA2A	agonist	1.66914298532573e-10
Early_Braak_Sst_Chodl	ADRA2A	agonist	3.64110192049888e-10
Early_Braak_Oligo	ADRA2A	agonist	5.88724619859935e-11
Early_Braak_Vip	ADRA2A	agonist	4.37577572446901e-11
Early_Braak_Pvalb	ADRA2A	agonist	1.08672542866363e-10
Early_Braak_Lamp5_Lhx6	ADRA2A	agonist	3.08499245095503e-16
Early_Braak_L5_IT	ADRA2A	agonist	3.23258095432464e-11
Late_Braak_L2_3_IT	ADRA2A	agonist	4.35387964019e-12
Late_Braak_Chandelier	ADRA2A	agonist	6.04641341355686e-11
Late_Braak_L5_6_NP	ADRA2A	agonist	5.53141170765418e-11
Late_Braak_L6_IT	ADRA2A	agonist	2.37048478255347e-11
Late_Braak_Astro	ADRA2A	agonist	3.94646812417676e-11
Late_Braak_L6_CT	ADRA2A	agonist	1.2609227894693e-11
Late_Braak_Endo	ADRA2A	agonist	7.76796237830284e-11
Late_Braak_L5_IT	ADRA2A	agonist	2.43416679399445e-10
Late_Braak_L5_ET	ADRA2A	agonist	2.28611522800725e-10
Late_Braak_OPC	ADRA2A	agonist	1.81588953160808e-10
Late_Braak_L4_IT	ADRA2A	agonist	8.79482504572876e-12
Late_Braak_L6b	ADRA2A	agonist	2.17258209987624e-10
Late_Braak_Pax6	ADRA2A	agonist	8.14781036643492e-11
Late_Braak_Lamp5_Lhx6	ADRA2A	agonist	3.04939308560492e-11
Late_Braak_L6_IT_Car3	ADRA2A	agonist	2.76132136017e-10
Late_Braak_Micro-PVM	ADRA2A	agonist	3.64829207720817e-11
Late_Braak_Lamp5	ADRA2A	agonist	4.41913887703829e-11
Late_Braak_Sst_Chodl	ADRA2A	agonist	9.47513978338021e-11
Late_Braak_Sncg	ADRA2A	agonist	2.74299214776941e-10
Late_Braak_Vip	ADRA2A	agonist	3.58110243238134e-10
Late_Braak_Pvalb	ADRA2A	agonist	8.55514329759546e-11
Late_Braak_Oligo	ADRA2A	agonist	1.04200227378394e-10
Late_Braak_Sst	ADRA2A	agonist	2.0790281761969e-10
Late_Braak_VLMC	ADRA2A	agonist	6.85471989700826e-11
Early_Braak_L6_CT	ANK3	agonist	3.29217145894253e-09
Early_Braak_L4_IT	ANK3	agonist	1.78314266053715e-09
Early_Braak_Astro	ANK3	agonist	4.02861668591295e-10
Early_Braak_Endo	ANK3	agonist	6.31266196327276e-09
Early_Braak_Chandelier	ANK3	agonist	1.95761081751983e-09
Early_Braak_L6_IT	ANK3	agonist	5.27799727734917e-09
Early_Braak_Sst	ANK3	agonist	3.42952567703073e-09
Early_Braak_VLMC	ANK3	agonist	2.43675968823138e-09
Early_Braak_Sncg	ANK3	agonist	3.82872767642413e-09
Early_Braak_OPC	ANK3	agonist	4.93763943955607e-09
Early_Braak_L5_ET	ANK3	agonist	4.38673044407272e-09
Early_Braak_L6_IT_Car3	ANK3	agonist	5.77359208520412e-09
Early_Braak_L2_3_IT	ANK3	agonist	3.35665757219212e-09
Early_Braak_L6b	ANK3	agonist	5.70610989908076e-09
Early_Braak_Micro-PVM	ANK3	agonist	6.4172101012477e-10
Early_Braak_Pax6	ANK3	agonist	4.31543316330288e-09
Early_Braak_L5_6_NP	ANK3	agonist	8.51338095409021e-09
Early_Braak_Lamp5	ANK3	agonist	9.13300250994244e-10
Early_Braak_Sst_Chodl	ANK3	agonist	1.72434814830435e-09
Early_Braak_Oligo	ANK3	agonist	1.25439872708866e-09
Early_Braak_Vip	ANK3	agonist	2.68621074457386e-09
Early_Braak_Pvalb	ANK3	agonist	1.15792982782101e-09
Early_Braak_Lamp5_Lhx6	ANK3	agonist	2.67949344334625e-09
Early_Braak_L5_IT	ANK3	agonist	1.72916189361681e-09
Late_Braak_L2_3_IT	ANK3	agonist	3.41434211519136e-09
Late_Braak_Chandelier	ANK3	agonist	1.39102331269423e-09
Late_Braak_L5_6_NP	ANK3	agonist	4.34303740088584e-09
Late_Braak_L6_IT	ANK3	agonist	7.11530347832158e-11
Late_Braak_Astro	ANK3	agonist	4.11268687876566e-09
Late_Braak_L6_CT	ANK3	agonist	3.96001260828917e-09
Late_Braak_Endo	ANK3	agonist	1.72226556669885e-10
Late_Braak_L5_IT	ANK3	agonist	2.09047117159458e-09
Late_Braak_L5_ET	ANK3	agonist	4.94447693965303e-09
Late_Braak_OPC	ANK3	agonist	4.4803658400576e-09
Late_Braak_L4_IT	ANK3	agonist	7.14728181222764e-09
Late_Braak_L6b	ANK3	agonist	3.78771652410707e-09
Late_Braak_Pax6	ANK3	agonist	3.72171923091641e-09
Late_Braak_Lamp5_Lhx6	ANK3	agonist	2.72138724240239e-10
Late_Braak_L6_IT_Car3	ANK3	agonist	3.08608996221378e-09
Late_Braak_Micro-PVM	ANK3	agonist	3.73293010363204e-09
Late_Braak_Lamp5	ANK3	agonist	1.0874139730228e-08
Late_Braak_Sst_Chodl	ANK3	agonist	5.64134322125024e-09
Late_Braak_Sncg	ANK3	agonist	6.56300355183509e-09
Late_Braak_Vip	ANK3	agonist	7.0422963462406e-09
Late_Braak_Pvalb	ANK3	agonist	2.55512016451932e-09
Late_Braak_Oligo	ANK3	agonist	1.92518325963112e-09
Late_Braak_Sst	ANK3	agonist	5.57144486260808e-09
Late_Braak_VLMC	ANK3	agonist	1.26571563154077e-09
Early_Braak_L6_CT	APH1B	agonist	1.59969289607311e-10
Early_Braak_L4_IT	APH1B	agonist	4.34024852212086e-10
Early_Braak_Astro	APH1B	agonist	6.30764287441477e-10
Early_Braak_Endo	APH1B	agonist	6.71414882953153e-10
Early_Braak_Chandelier	APH1B	agonist	1.05784410683069e-10
Early_Braak_L6_IT	APH1B	agonist	4.53555904372549e-10
Early_Braak_Sst	APH1B	agonist	5.1567398529267e-11
Early_Braak_VLMC	APH1B	agonist	1.38767241459001e-10
Early_Braak_Sncg	APH1B	agonist	4.48613553339092e-10
Early_Braak_OPC	APH1B	agonist	6.74572335387772e-10
Early_Braak_L5_ET	APH1B	agonist	7.30084806743893e-10
Early_Braak_L6_IT_Car3	APH1B	agonist	1.49025780355835e-09
Early_Braak_L2_3_IT	APH1B	agonist	4.82905442950783e-10
Early_Braak_L6b	APH1B	agonist	3.62340057569191e-10
Early_Braak_Micro-PVM	APH1B	agonist	5.86020561751013e-10
Early_Braak_Pax6	APH1B	agonist	1.25623376229517e-09
Early_Braak_L5_6_NP	APH1B	agonist	5.22757828733083e-10
Early_Braak_Lamp5	APH1B	agonist	1.41854447398783e-09
Early_Braak_Sst_Chodl	APH1B	agonist	3.01853148249652e-10
Early_Braak_Oligo	APH1B	agonist	2.15288992596988e-09
Early_Braak_Vip	APH1B	agonist	1.24990990648275e-09
Early_Braak_Pvalb	APH1B	agonist	4.33757110365612e-10
Early_Braak_Lamp5_Lhx6	APH1B	agonist	1.67393014677995e-10
Early_Braak_L5_IT	APH1B	agonist	1.13028319331803e-10
Late_Braak_L2_3_IT	APH1B	agonist	4.56241277644682e-10
Late_Braak_Chandelier	APH1B	agonist	2.65730594223237e-10
Late_Braak_L5_6_NP	APH1B	agonist	9.23234201308691e-10
Late_Braak_L6_IT	APH1B	agonist	1.17882551365171e-10
Late_Braak_Astro	APH1B	agonist	5.3103096594413e-10
Late_Braak_L6_CT	APH1B	agonist	3.04483379025841e-10
Late_Braak_Endo	APH1B	agonist	2.1835920034004e-10
Late_Braak_L5_IT	APH1B	agonist	4.87773992678072e-10
Late_Braak_L5_ET	APH1B	agonist	2.00671157459408e-10
Late_Braak_OPC	APH1B	agonist	3.07620434546002e-11
Late_Braak_L4_IT	APH1B	agonist	2.33756805427123e-10
Late_Braak_L6b	APH1B	agonist	6.43768889496279e-10
Late_Braak_Pax6	APH1B	agonist	2.08233508060208e-10
Late_Braak_Lamp5_Lhx6	APH1B	agonist	1.06544468417313e-11
Late_Braak_L6_IT_Car3	APH1B	agonist	6.16796035721292e-10
Late_Braak_Micro-PVM	APH1B	agonist	3.6783421925351e-10
Late_Braak_Lamp5	APH1B	agonist	5.59377296333152e-10
Late_Braak_Sst_Chodl	APH1B	agonist	4.45063188428865e-10
Late_Braak_Sncg	APH1B	agonist	8.81220474902085e-11
