cell_type	target	binding	perb_score
Early_Braak_OPC	ADORA1	antagonist	4.40202974013386e-10
Early_Braak_Sst_Chodl	ADORA1	antagonist	1.10169701112421e-09
Early_Braak_Sst	ADORA1	antagonist	4.66948364678475e-10
Early_Braak_L6b	ADORA1	antagonist	3.28049710437708e-10
Early_Braak_Oligo	ADORA1	antagonist	7.89049267481354e-10
Early_Braak_L4_IT	ADORA1	antagonist	4.49241374859156e-10
Early_Braak_Sncg	ADORA1	antagonist	7.19860836764013e-10
Early_Braak_L5_6_NP	ADORA1	antagonist	1.24868442156161e-09
Early_Braak_Micro-PVM	ADORA1	antagonist	3.20986451389222e-10
Early_Braak_Endo	ADORA1	antagonist	1.72934570004312e-09
Early_Braak_L2_3_IT	ADORA1	antagonist	4.58912295405674e-11
Early_Braak_L5_IT	ADORA1	antagonist	1.33223390515424e-10
Early_Braak_VLMC	ADORA1	antagonist	9.92534123827455e-11
Early_Braak_Vip	ADORA1	antagonist	6.70453186607185e-10
Early_Braak_L6_IT_Car3	ADORA1	antagonist	7.75671813803861e-10
Early_Braak_Pax6	ADORA1	antagonist	6.05446717527776e-10
Early_Braak_L5_ET	ADORA1	antagonist	5.50571980360361e-10
Early_Braak_L6_CT	ADORA1	antagonist	8.05004918259294e-10
Early_Braak_Astro	ADORA1	antagonist	5.36168819500166e-11
Early_Braak_Lamp5	ADORA1	antagonist	2.39120473564486e-10
Early_Braak_L6_IT	ADORA1	antagonist	8.7634047615832e-10
Early_Braak_Chandelier	ADORA1	antagonist	3.41394541365874e-10
Early_Braak_Lamp5_Lhx6	ADORA1	antagonist	2.37339105243575e-10
Early_Braak_Pvalb	ADORA1	antagonist	5.09810032954961e-10
Late_Braak_L5_ET	ADORA1	antagonist	1.82239578220286e-10
Late_Braak_Astro	ADORA1	antagonist	6.01056598462755e-10
Late_Braak_Endo	ADORA1	antagonist	2.75813350572575e-10
Late_Braak_L4_IT	ADORA1	antagonist	9.14177181885907e-10
Late_Braak_Sst	ADORA1	antagonist	2.5210563099059e-10
Late_Braak_Chandelier	ADORA1	antagonist	1.92730504034325e-10
Late_Braak_L6_CT	ADORA1	antagonist	3.60777056125211e-10
Late_Braak_L2_3_IT	ADORA1	antagonist	2.11887684897534e-10
Late_Braak_L6_IT	ADORA1	antagonist	1.36567969288036e-11
Late_Braak_Oligo	ADORA1	antagonist	1.33635903932422e-10
Late_Braak_OPC	ADORA1	antagonist	4.35354111618907e-10
Late_Braak_L5_IT	ADORA1	antagonist	7.29003648714755e-10
Late_Braak_Micro-PVM	ADORA1	antagonist	7.46800445363744e-11
Late_Braak_Lamp5	ADORA1	antagonist	2.98275498536177e-10
Late_Braak_L6_IT_Car3	ADORA1	antagonist	4.18539957578558e-11
Late_Braak_Pvalb	ADORA1	antagonist	2.90180696088972e-10
Late_Braak_L6b	ADORA1	antagonist	2.92067017546338e-10
Late_Braak_L5_6_NP	ADORA1	antagonist	9.98471184805629e-10
Late_Braak_VLMC	ADORA1	antagonist	4.22636007612364e-10
Late_Braak_Sncg	ADORA1	antagonist	4.09866305757803e-10
Late_Braak_Sst_Chodl	ADORA1	antagonist	3.51022477455997e-11
Late_Braak_Pax6	ADORA1	antagonist	7.78095096600679e-11
Late_Braak_Vip	ADORA1	antagonist	1.25772918609077e-10
Late_Braak_Lamp5_Lhx6	ADORA1	antagonist	4.73266712951609e-10
Early_Braak_OPC	ABCA1	antagonist	6.41549957974597e-10
Early_Braak_Sst_Chodl	ABCA1	antagonist	7.39873769989923e-10
Early_Braak_Sst	ABCA1	antagonist	4.51038423186902e-11
Early_Braak_L6b	ABCA1	antagonist	4.30675521699973e-10
Early_Braak_Oligo	ABCA1	antagonist	8.98244391044854e-10
Early_Braak_L4_IT	ABCA1	antagonist	5.36226801608884e-10
Early_Braak_Sncg	ABCA1	antagonist	1.44529072091558e-09
Early_Braak_L5_6_NP	ABCA1	antagonist	5.93186278182796e-11
Early_Braak_Micro-PVM	ABCA1	antagonist	1.93791044365848e-09
Early_Braak_Endo	ABCA1	antagonist	1.52576730727036e-09
Early_Braak_L2_3_IT	ABCA1	antagonist	7.33133883933074e-11
Early_Braak_L5_IT	ABCA1	antagonist	9.31423790520454e-11
Early_Braak_VLMC	ABCA1	antagonist	2.49908998686997e-09
Early_Braak_Vip	ABCA1	antagonist	3.5814674875701e-10
Early_Braak_L6_IT_Car3	ABCA1	antagonist	4.9783374148216e-10
Early_Braak_Pax6	ABCA1	antagonist	1.79591410051448e-09
Early_Braak_L5_ET	ABCA1	antagonist	4.07331043773527e-10
Early_Braak_L6_CT	ABCA1	antagonist	9.33190116060394e-11
Early_Braak_Astro	ABCA1	antagonist	1.10953847978842e-09
Early_Braak_Lamp5	ABCA1	antagonist	5.58284988456724e-10
Early_Braak_L6_IT	ABCA1	antagonist	1.81971624333977e-11
Early_Braak_Chandelier	ABCA1	antagonist	2.3694421067541e-10
Early_Braak_Lamp5_Lhx6	ABCA1	antagonist	8.20729243074704e-10
Early_Braak_Pvalb	ABCA1	antagonist	6.37679031223178e-10
Late_Braak_L5_ET	ABCA1	antagonist	1.72474327628994e-10
Late_Braak_Astro	ABCA1	antagonist	6.54488155599516e-10
Late_Braak_Endo	ABCA1	antagonist	1.68155358832207e-09
Late_Braak_L4_IT	ABCA1	antagonist	2.33421377012772e-10
Late_Braak_Sst	ABCA1	antagonist	9.35596381314121e-10
Late_Braak_Chandelier	ABCA1	antagonist	6.20013686853807e-10
Late_Braak_L6_CT	ABCA1	antagonist	3.0716537567669e-10
Late_Braak_L2_3_IT	ABCA1	antagonist	3.79734627685934e-10
Late_Braak_L6_IT	ABCA1	antagonist	1.50205136337069e-10
Late_Braak_Oligo	ABCA1	antagonist	8.78436544681161e-11
Late_Braak_OPC	ABCA1	antagonist	2.31767281775812e-10
Late_Braak_L5_IT	ABCA1	antagonist	1.54774847358388e-10
Late_Braak_Micro-PVM	ABCA1	antagonist	4.59777416379725e-10
Late_Braak_Lamp5	ABCA1	antagonist	4.0183524549986e-10
Late_Braak_L6_IT_Car3	ABCA1	antagonist	2.10030608233802e-10
Late_Braak_Pvalb	ABCA1	antagonist	4.40033466023817e-10
Late_Braak_L6b	ABCA1	antagonist	2.34281775979836e-10
Late_Braak_L5_6_NP	ABCA1	antagonist	2.44199382080113e-10
Late_Braak_VLMC	ABCA1	antagonist	1.20028125614557e-09
Late_Braak_Sncg	ABCA1	antagonist	4.91254261583407e-10
Late_Braak_Sst_Chodl	ABCA1	antagonist	1.08581285896405e-10
Late_Braak_Pax6	ABCA1	antagonist	1.84223980430965e-10
Late_Braak_Vip	ABCA1	antagonist	6.15213729761695e-10
Late_Braak_Lamp5_Lhx6	ABCA1	antagonist	2.84524487724547e-11
Early_Braak_OPC	BLNK	antagonist	4.54720956420556e-11
Early_Braak_Sst_Chodl	BLNK	antagonist	2.56890546796959e-10
Early_Braak_Sst	BLNK	antagonist	2.71920975843515e-10
Early_Braak_L6b	BLNK	antagonist	8.3885221163945e-11
Early_Braak_Oligo	BLNK	antagonist	1.88775108149996e-10
Early_Braak_L4_IT	BLNK	antagonist	2.96528642956858e-10
Early_Braak_Sncg	BLNK	antagonist	1.98478113322823e-10
Early_Braak_L5_6_NP	BLNK	antagonist	8.2139639715627e-11
Early_Braak_Micro-PVM	BLNK	antagonist	2.6709671593331e-09
Early_Braak_Endo	BLNK	antagonist	2.07000290038864e-17
Early_Braak_L2_3_IT	BLNK	antagonist	5.24122257478172e-10
Early_Braak_L5_IT	BLNK	antagonist	8.35134854740634e-11
Early_Braak_VLMC	BLNK	antagonist	1.31255648280946e-17
Early_Braak_Vip	BLNK	antagonist	1.91780337654647e-10
Early_Braak_L6_IT_Car3	BLNK	antagonist	1.63310055448336e-10
Early_Braak_Pax6	BLNK	antagonist	6.62060702898897e-11
Early_Braak_L5_ET	BLNK	antagonist	2.71758105815662e-11
Early_Braak_L6_CT	BLNK	antagonist	7.39403924874715e-11
Early_Braak_Astro	BLNK	antagonist	7.97312576675354e-18
Early_Braak_Lamp5	BLNK	antagonist	4.15873393708572e-10
Early_Braak_L6_IT	BLNK	antagonist	3.97153177454921e-10
Early_Braak_Chandelier	BLNK	antagonist	6.68897077981827e-10
Early_Braak_Lamp5_Lhx6	BLNK	antagonist	1.46043604691563e-10
Early_Braak_Pvalb	BLNK	antagonist	1.44467890351495e-10
Late_Braak_L5_ET	BLNK	antagonist	1.38509914987629e-10
Late_Braak_Astro	BLNK	antagonist	1.21953838737581e-10
Late_Braak_Endo	BLNK	antagonist	8.54150040054169e-11
Late_Braak_L4_IT	BLNK	antagonist	5.77232360448505e-11
Late_Braak_Sst	BLNK	antagonist	2.0802327043711e-10
Late_Braak_Chandelier	BLNK	antagonist	1.88406180944104e-10
Late_Braak_L6_CT	BLNK	antagonist	4.4180441875891e-11
Late_Braak_L2_3_IT	BLNK	antagonist	3.85366900406357e-10
Late_Braak_L6_IT	BLNK	antagonist	1.38399485143464e-10
Late_Braak_Oligo	BLNK	antagonist	2.93967343430866e-10
Late_Braak_OPC	BLNK	antagonist	2.84014503881557e-10
Late_Braak_L5_IT	BLNK	antagonist	1.01440175162771e-10
Late_Braak_Micro-PVM	BLNK	antagonist	2.62097362004994e-10
Late_Braak_Lamp5	BLNK	antagonist	9.56463532625464e-11
Late_Braak_L6_IT_Car3	BLNK	antagonist	1.68511239741415e-10
Late_Braak_Pvalb	BLNK	antagonist	3.5638151684406e-10
Late_Braak_L6b	BLNK	antagonist	1.36691137364475e-10
Late_Braak_L5_6_NP	BLNK	antagonist	1.83325388673359e-09
Late_Braak_VLMC	BLNK	antagonist	4.02056816755751e-11
Late_Braak_Sncg	BLNK	antagonist	2.78294014251392e-10
Late_Braak_Sst_Chodl	BLNK	antagonist	1.53614891574206e-10
Late_Braak_Pax6	BLNK	antagonist	1.93907596811502e-10
Late_Braak_Vip	BLNK	antagonist	2.36940167742667e-10
Late_Braak_Lamp5_Lhx6	BLNK	antagonist	3.60130613298487e-10
Early_Braak_OPC	ADORA2A	antagonist	9.03489632782258e-11
Early_Braak_Sst_Chodl	ADORA2A	antagonist	5.5007531740549e-10
Early_Braak_Sst	ADORA2A	antagonist	2.51983117779825e-11
Early_Braak_L6b	ADORA2A	antagonist	2.10775276837348e-10
Early_Braak_Oligo	ADORA2A	antagonist	6.45147618761822e-10
Early_Braak_L4_IT	ADORA2A	antagonist	1.58283311660318e-10
Early_Braak_Sncg	ADORA2A	antagonist	2.1569698435277e-10
Early_Braak_L5_6_NP	ADORA2A	antagonist	1.70948782830886e-10
Early_Braak_Micro-PVM	ADORA2A	antagonist	6.75399112935879e-10
Early_Braak_Endo	ADORA2A	antagonist	1.18250672566003e-09
Early_Braak_L2_3_IT	ADORA2A	antagonist	2.45782991766225e-10
Early_Braak_L5_IT	ADORA2A	antagonist	1.47154440707244e-10
Early_Braak_VLMC	ADORA2A	antagonist	6.14566180429198e-10
Early_Braak_Vip	ADORA2A	antagonist	2.80343734580826e-10
Early_Braak_L6_IT_Car3	ADORA2A	antagonist	3.13840510828117e-10
Early_Braak_Pax6	ADORA2A	antagonist	8.4791573433437e-10
Early_Braak_L5_ET	ADORA2A	antagonist	1.27932215457536e-10
Early_Braak_L6_CT	ADORA2A	antagonist	3.74662711866893e-10
Early_Braak_Astro	ADORA2A	antagonist	5.27333322772995e-11
Early_Braak_Lamp5	ADORA2A	antagonist	2.84190233049312e-10
Early_Braak_L6_IT	ADORA2A	antagonist	1.50753893572475e-10
Early_Braak_Chandelier	ADORA2A	antagonist	1.73106247466882e-10
Early_Braak_Lamp5_Lhx6	ADORA2A	antagonist	1.55394285172006e-10
Early_Braak_Pvalb	ADORA2A	antagonist	2.37936505933597e-10
Late_Braak_L5_ET	ADORA2A	antagonist	1.43862397114574e-10
Late_Braak_Astro	ADORA2A	antagonist	1.95800764836367e-10
Late_Braak_Endo	ADORA2A	antagonist	1.34690645756469e-10
Late_Braak_L4_IT	ADORA2A	antagonist	1.09385651567798e-11
Late_Braak_Sst	ADORA2A	antagonist	2.63525312819424e-11
Late_Braak_Chandelier	ADORA2A	antagonist	2.40100721604894e-10
Late_Braak_L6_CT	ADORA2A	antagonist	1.40776638050262e-10
Late_Braak_L2_3_IT	ADORA2A	antagonist	5.54437255389299e-11
Late_Braak_L6_IT	ADORA2A	antagonist	3.12479500294865e-10
Late_Braak_Oligo	ADORA2A	antagonist	1.46550739408769e-10
Late_Braak_OPC	ADORA2A	antagonist	6.93396432315078e-11
Late_Braak_L5_IT	ADORA2A	antagonist	9.89164605981536e-11
Late_Braak_Micro-PVM	ADORA2A	antagonist	1.43114171200183e-10
Late_Braak_Lamp5	ADORA2A	antagonist	3.05661269437797e-10
Late_Braak_L6_IT_Car3	ADORA2A	antagonist	2.84369743606727e-11
Late_Braak_Pvalb	ADORA2A	antagonist	4.08580680313308e-10
Late_Braak_L6b	ADORA2A	antagonist	5.48059353320909e-11
Late_Braak_L5_6_NP	ADORA2A	antagonist	1.6520032546608e-11
Late_Braak_VLMC	ADORA2A	antagonist	7.66877665534655e-10
Late_Braak_Sncg	ADORA2A	antagonist	1.06709226896123e-11
Late_Braak_Sst_Chodl	ADORA2A	antagonist	1.59637048985956e-10
Late_Braak_Pax6	ADORA2A	antagonist	3.8769178765471e-10
Late_Braak_Vip	ADORA2A	antagonist	2.16030208318769e-10
Late_Braak_Lamp5_Lhx6	ADORA2A	antagonist	3.22401809696037e-10
Early_Braak_OPC	ANKH	antagonist	1.31336877236985e-09
Early_Braak_Sst_Chodl	ANKH	antagonist	1.13262380999544e-09
Early_Braak_Sst	ANKH	antagonist	1.27512935174373e-09
Early_Braak_L6b	ANKH	antagonist	1.13669250100456e-09
Early_Braak_Oligo	ANKH	antagonist	2.81220864844776e-09
Early_Braak_L4_IT	ANKH	antagonist	1.70940165476867e-09
Early_Braak_Sncg	ANKH	antagonist	3.39220442880899e-09
Early_Braak_L5_6_NP	ANKH	antagonist	1.19236386919139e-10
Early_Braak_Micro-PVM	ANKH	antagonist	7.13068930475237e-10
Early_Braak_Endo	ANKH	antagonist	4.32871331066493e-10
Early_Braak_L2_3_IT	ANKH	antagonist	1.17501152931573e-09
Early_Braak_L5_IT	ANKH	antagonist	1.00105863956279e-09
Early_Braak_VLMC	ANKH	antagonist	2.62156155653001e-09
Early_Braak_Vip	ANKH	antagonist	9.36891970136777e-10
Early_Braak_L6_IT_Car3	ANKH	antagonist	6.20815350704584e-10
Early_Braak_Pax6	ANKH	antagonist	8.84079952898179e-10
Early_Braak_L5_ET	ANKH	antagonist	3.22909066193474e-10
Early_Braak_L6_CT	ANKH	antagonist	4.88938006716761e-10
Early_Braak_Astro	ANKH	antagonist	2.04042761399261e-09
Early_Braak_Lamp5	ANKH	antagonist	3.53546313248529e-09
Early_Braak_L6_IT	ANKH	antagonist	7.51003961804513e-10
Early_Braak_Chandelier	ANKH	antagonist	2.93218153495355e-10
Early_Braak_Lamp5_Lhx6	ANKH	antagonist	3.16630625471603e-09
Early_Braak_Pvalb	ANKH	antagonist	3.60929544952519e-10
Late_Braak_L5_ET	ANKH	antagonist	2.13129378884111e-10
Late_Braak_Astro	ANKH	antagonist	4.72031404791642e-10
Late_Braak_Endo	ANKH	antagonist	1.31917923363264e-10
