cell_type	target	binding	perb_score
Early_Braak_L4_IT	ABCA7	agonist	2.16120724952731e-10
Early_Braak_Sncg	ABCA7	agonist	4.77913022444856e-12
Early_Braak_L6_CT	ABCA7	agonist	1.3186562275091e-10
Early_Braak_Microglia-PVM	ABCA7	agonist	3.53773139206275e-10
Early_Braak_Chandelier	ABCA7	agonist	3.08374948707152e-10
Early_Braak_L2_3_IT	ABCA7	agonist	2.28158609955851e-10
Early_Braak_L6_IT_Car3	ABCA7	agonist	7.40127888249981e-11
Early_Braak_L6_IT	ABCA7	agonist	1.6204136475078e-10
Early_Braak_Pax6	ABCA7	agonist	3.91842511006152e-10
Early_Braak_Oligodendrocyte	ABCA7	agonist	4.27595648124087e-10
Early_Braak_Vip	ABCA7	agonist	2.05221215763452e-10
Late_Braak_Chandelier	ABCA7	agonist	5.88847657467414e-10
Late_Braak_Astrocyte	ABCA7	agonist	4.97163529703551e-10
Early_Braak_Lamp5	ABCA7	agonist	4.10470392027569e-10
Early_Braak_Sst	ABCA7	agonist	1.29854392271713e-10
Early_Braak_L6b	ABCA7	agonist	6.53944500925824e-10
Early_Braak_L5_IT	ABCA7	agonist	1.22423010925755e-13
Early_Braak_Astrocyte	ABCA7	agonist	1.343430622724e-10
Early_Braak_L5_6_NP	ABCA7	agonist	4.67779769653996e-10
Early_Braak_Pvalb	ABCA7	agonist	3.68356421096369e-10
Early_Braak_OPC	ABCA7	agonist	5.63735042923114e-11
Early_Braak_Lamp5_Lhx6	ABCA7	agonist	7.02990276549559e-10
Early_Braak_VLMC	ABCA7	agonist	2.06885616781884e-10
Late_Braak_Endothelial	ABCA7	agonist	9.9972356179399e-11
Late_Braak_L4_IT	ABCA7	agonist	5.1631133246718e-11
Late_Braak_L5_ET	ABCA7	agonist	6.29374396949074e-11
Late_Braak_Lamp5_Lhx6	ABCA7	agonist	3.50780717920152e-10
Late_Braak_Lamp5	ABCA7	agonist	4.78048625291833e-10
Late_Braak_L6_IT_Car3	ABCA7	agonist	1.9985727522779e-10
Late_Braak_L2_3_IT	ABCA7	agonist	5.57190248426812e-11
Late_Braak_L6_CT	ABCA7	agonist	4.85999068659459e-10
Late_Braak_L6_IT	ABCA7	agonist	1.57293565467381e-10
Late_Braak_L5_IT	ABCA7	agonist	7.5803491438941e-10
Late_Braak_L5_6_NP	ABCA7	agonist	6.22488704607005e-11
Late_Braak_Microglia-PVM	ABCA7	agonist	2.40169879414228e-10
Late_Braak_L6b	ABCA7	agonist	1.08628544228343e-10
Late_Braak_Sst_Chodl	ABCA7	agonist	2.65260059172307e-10
Late_Braak_OPC	ABCA7	agonist	1.44853993665687e-10
Late_Braak_Oligodendrocyte	ABCA7	agonist	3.7056455837729e-10
Late_Braak_Pax6	ABCA7	agonist	3.28289661477764e-10
Late_Braak_Pvalb	ABCA7	agonist	4.90681792640799e-10
Late_Braak_Sncg	ABCA7	agonist	5.07245591440327e-10
Late_Braak_Sst	ABCA7	agonist	2.49666131292175e-10
Late_Braak_VLMC	ABCA7	agonist	8.83643717643230e-11
Late_Braak_Vip	ABCA7	agonist	1.20059837615242e-10
Early_Braak_L6_IT_Car3	APH1B	agonist	2.18506736953364e-10
Early_Braak_L4_IT	APH1B	agonist	3.82206600279193e-10
Early_Braak_Astrocyte	APH1B	agonist	8.77609173198793e-12
Early_Braak_Lamp5_Lhx6	APH1B	agonist	3.41284247695772e-10
Early_Braak_Oligodendrocyte	APH1B	agonist	9.25723453988625e-11
Early_Braak_Sncg	APH1B	agonist	6.78432867074195e-10
Early_Braak_L2_3_IT	APH1B	agonist	4.22346788890382e-10
Early_Braak_OPC	APH1B	agonist	3.35000896268297e-10
Late_Braak_Chandelier	APH1B	agonist	5.38592298447461e-12
Early_Braak_L6b	APH1B	agonist	5.21561680295876e-10
Early_Braak_L5_IT	APH1B	agonist	3.40516746418589e-10
Late_Braak_Astrocyte	APH1B	agonist	9.49017049966928e-11
Early_Braak_L6_IT	APH1B	agonist	4.47113143009968e-10
Early_Braak_Lamp5	APH1B	agonist	4.36787757370232e-10
Early_Braak_L6_CT	APH1B	agonist	8.62006650057493e-10
Early_Braak_Microglia-PVM	APH1B	agonist	3.30516289621753e-10
Early_Braak_Vip	APH1B	agonist	2.80085820151576e-11
Early_Braak_Chandelier	APH1B	agonist	2.35062181825907e-10
Early_Braak_L5_6_NP	APH1B	agonist	3.76557954560677e-11
Early_Braak_VLMC	APH1B	agonist	9.04845831253058e-11
Early_Braak_Pax6	APH1B	agonist	5.57974455461817e-10
Late_Braak_Endothelial	APH1B	agonist	2.38680965520991e-10
Early_Braak_Sst	APH1B	agonist	4.92791624828666e-10
Early_Braak_Pvalb	APH1B	agonist	3.00345775986144e-10
Late_Braak_L2_3_IT	APH1B	agonist	3.69256315419289e-10
Late_Braak_Lamp5_Lhx6	APH1B	agonist	1.89752170427119e-10
Late_Braak_L5_ET	APH1B	agonist	2.3754489726501e-10
Late_Braak_Lamp5	APH1B	agonist	4.44825049306538e-10
Late_Braak_L6_IT	APH1B	agonist	4.86596012987498e-10
Late_Braak_L4_IT	APH1B	agonist	3.75209470972461e-11
Late_Braak_L6b	APH1B	agonist	1.23363014141955e-10
Late_Braak_Sst_Chodl	APH1B	agonist	6.01300032935321e-10
Late_Braak_L6_CT	APH1B	agonist	7.18157553486481e-11
Late_Braak_L6_IT_Car3	APH1B	agonist	1.90373897065882e-10
