"target","n_celltypes","top_celltypes","top_stages","max_score","mean_score","selectivity","stage_pref","region","drugs","functional_category","target_type","max_phase"
"ANK3",16,"Endo, L6_IT, Sncg, OPC, L5_ET, L6_IT_Car3, L6b, Pax6, L5_6_NP, Astro, L6_CT, L4_IT, Lamp5, Sst_Chodl, Vip, Sst","Early/Late",1.0874139730228e-08,5.59619421992861e-09,"Não seletivo","Both stages","DLPFC",NA,NA,NA,NA
"APOE",1,"Micro-PVM","Early/Late",6.24848971973984e-09,5.64233905323055e-09,"Seletivo","Both stages","DLPFC","LX1001; RO7812653","agonist-like/antagonist-like","Gene Therapy (Expressor); ASO (Silencer)",1
"APP",6,"Sncg, L5_ET, Pax6, L5_6_NP, Lamp5, Oligo","Early",1.06192345595868e-08,6.12542634482786e-09,"Não seletivo","Early only","DLPFC","Buntanetap; Donanemab; Etalanetug + Lecanemab; Gantenerumab; Lecanemab; Remternetug; RG6289 + donanemab; Solanezumab; Trontinemab; Valiltramiprosate; AADvac1 + AAmAb; ACI-24.060; BEY2153; Contraloid acetate; Etalanetug + Lecanemab (Ph2); KarXT + KarX-EC + Lecanemab; RQC; Sabirnetug; SHR-1707; Trontinemab (Ph2); AK152; AS-S603; AV-1959D; AV-1959R; CM383; DDN-A-0101; DUVAX; ION269; Mivelsiran; Phenserine; PMN310","antagonist-like","Translation Inhibitor; Monoclonal Antibody; Inhibitor; Vaccine; Aggregation Inhibitor; ASO (Silencer); RNAi (Silencer)",1
"BIN1",1,"Oligo","Early",3.83380815979869e-09,3.83380815979869e-09,"Seletivo","Early only","DLPFC",NA,NA,NA,NA
"CACNA1C",12,"L4_IT, L6_IT, L6_IT_Car3, L2_3_IT, Pax6, Sst_Chodl, Vip, Lamp5_Lhx6, L5_6_NP, L6_CT, L5_IT, L6b","Early/Late",1.07646821561343e-08,6.38288415958798e-09,"Não seletivo","Both stages","DLPFC","Losartan + Amlodipine","antagonist-like","Blocker",2
"CHRM2",3,"L4_IT, L6b, Sst_Chodl","Late",8.95936322271925e-09,6.34418675930327e-09,"Não seletivo","Late only","DLPFC","KarXT (xanomeline+trospium); KarXT + KarX-EC; KarXT + KarX-EC + Lecanemab; NSC001 + Trospium","antagonist-like","Antagonist",2
"CHRM3",9,"Chandelier, Sncg, Micro-PVM, Lamp5, Vip, L2_3_IT, L5_IT, L6b, Sst_Chodl","Early/Late",1.42230650398391e-08,8.23047731806286e-09,"Não seletivo","Both stages","DLPFC","KarXT (xanomeline+trospium); KarXT + KarX-EC; KarXT + KarX-EC + Lecanemab; NSC001 + Trospium","antagonist-like","Antagonist",2
"CHRM5",1,"VLMC","Early",4.14423013847184e-09,4.14423013847184e-09,"Seletivo","Early only","DLPFC","KarXT (xanomeline+trospium); KarXT + KarX-EC; KarXT + KarX-EC + Lecanemab; NSC001 + Trospium","antagonist-like","Antagonist",2
"CLU",2,"Pax6, L5_IT","Early",4.7187695691358e-09,4.38523452974877e-09,"Seletivo","Early only","DLPFC",NA,NA,NA,NA
"CNR1",3,"Sncg, Pax6, Vip","Early/Late",6.42043695204618e-09,5.43410021813178e-09,"Não seletivo","Both stages","DLPFC","Nabilone; Cannabidiol; IGC-AD1; Cannabidiol (Ph1)","agonist-like","Agonist",1
