"target","n_celltypes","top_celltypes","top_stages","max_score","mean_score","selectivity","stage_pref","region","drugs","functional_category","target_type","max_phase"
"ABL1",1,"VLMC","Late",3.94574972024577e-09,3.94574972024577e-09,"Seletivo","Late only","MTG","Nilotinib; Dasatinib + Quercetin","antagonist-like","Inhibitor",2
"ADAMTS1",1,"VLMC","Late",2.76120780917219e-09,2.76120780917219e-09,"Seletivo","Late only","MTG",NA,NA,NA,NA
"ANK3",11,"Sst, L6_IT, L5_6_NP, Pax6, Oligodendrocyte, Vip, Lamp5, L6_CT, L4_IT, L5_ET, L6b","Early/Late",7.6787786890926e-09,4.52288425652291e-09,"Não seletivo","Both stages","MTG",NA,NA,NA,NA
"ANKH",1,"VLMC","Early",3.19566389957956e-09,3.19566389957956e-09,"Seletivo","Early only","MTG",NA,NA,NA,NA
"APOE",1,"Microglia-PVM","Late",5.41105495477737e-09,5.41105495477737e-09,"Seletivo","Late only","MTG","LX1001; RO7812653","agonist-like/antagonist-like","Gene Therapy (Expressor); ASO (Silencer)",1
"BIN1",1,"Oligodendrocyte","Early",4.31047441807049e-09,4.31047441807049e-09,"Seletivo","Early only","MTG",NA,NA,NA,NA
"CACNA1C",12,"Lamp5_Lhx6, L6_CT, L6_IT_Car3, L4_IT, VLMC, Vip, Sncg, L2_3_IT, L5_IT, L5_6_NP, Sst_Chodl, L6b","Early/Late",1.00933822903765e-08,5.49336828600602e-09,"Não seletivo","Both stages","MTG","Losartan + Amlodipine","antagonist-like","Blocker",2
"CHRM2",4,"L6_IT_Car3, Pvalb, L4_IT, Sst_Chodl","Early/Late",1.4335005905081e-08,7.89753840679989e-09,"Não seletivo","Both stages","MTG","KarXT (xanomeline+trospium); KarXT + KarX-EC; KarXT + KarX-EC + Lecanemab; NSC001 + Trospium","antagonist-like","Antagonist",2
"CHRM3",15,"L6b, L2_3_IT, Sst, L6_CT, Chandelier, L6_IT_Car3, L4_IT, L5_IT, Vip, Sncg, Lamp5, Pax6, L6_IT, L5_ET, Sst_Chodl","Early/Late",2.47193767994176e-08,8.18271862334346e-09,"Não seletivo","Both stages","MTG","KarXT (xanomeline+trospium); KarXT + KarX-EC; KarXT + KarX-EC + Lecanemab; NSC001 + Trospium","antagonist-like","Antagonist",2
"CLU",5,"Astrocyte, L6_IT, Pvalb, OPC, L5_ET","Early/Late",1.03423773502319e-08,4.39151839918033e-09,"Não seletivo","Both stages","MTG",NA,NA,NA,NA
"COX7C",2,"L6_IT, L5_ET","Late",4.23994441198166e-09,3.47253013153003e-09,"Seletivo","Late only","MTG",NA,NA,NA,NA
"CSF1R",1,"Microglia-PVM","Early",3.05362348295026e-09,3.05362348295026e-09,"Seletivo","Early only","MTG","Enrupatinib","antagonist-like","Inhibitor",2
"CTSB",2,"Microglia-PVM, VLMC","Early",3.27287404463557e-09,3.1033382596064e-09,"Seletivo","Early only","MTG",NA,NA,NA,NA
"DYRK1A",1,"VLMC","Early",4.30292867604887e-09,4.30292867604887e-09,"Seletivo","Early only","MTG","Leucettinib-21","antagonist-like","Inhibitor",1
"FYN",1,"Microglia-PVM","Early/Late",4.98477254779914e-09,4.95204195609326e-09,"Seletivo","Both stages","MTG","Masitinib","antagonist-like","Inhibitor",3
"GRIN1",12,"L6b, L2_3_IT, Sst, L6_IT, Lamp5_Lhx6, L6_CT, L6_IT_Car3, L5_6_NP, Pax6, L5_IT, Pvalb, Vip","Early/Late",9.8509706770491e-09,4.82630607800259e-09,"Não seletivo","Both stages","MTG","DAOIB + AO; Memantine; Xenon","agonist-like/antagonist-like","Enhancer; Antagonist; Modulator",1
"GRIN2A",12,"L6b, Sst, L6_IT, Chandelier, Pax6, Lamp5, L5_6_NP, L6_CT, L4_IT, L5_ET, Sst_Chodl, Pvalb","Early/Late",3.73486170277078e-08,8.20475629850929e-09,"Não seletivo","Both stages","MTG","DAOIB + AO; Memantine","agonist-like/antagonist-like","Enhancer; Antagonist",2
"GRIN2B",2,"L5_6_NP, Sst","Late",3.74913005786493e-09,3.58449253515396e-09,"Seletivo","Late only","MTG","DAOIB + AO; Memantine; BnH-015B","agonist-like/antagonist-like","Enhancer; Antagonist; Modulator",1
"HS3ST5",4,"L6b, Lamp5, L6_IT, Oligodendrocyte","Early/Late",1.16904393841079e-08,5.00996637254839e-09,"Não seletivo","Both stages","MTG",NA,NA,NA,NA
"HTR2A",1,"L5_ET","Late",4.22718819617457e-09,4.22718819617457e-09,"Seletivo","Late only","MTG","ACP-204; ITI-1284; Trazodone; LY03017; Psilocybin","antagonist-like/agonist-like","Antagonist/Inverse Agonist; Antagonist; Inverse Agonist; Agonist",1
"HTR2C",4,"L6_IT_Car3, L5_6_NP, L6_CT, L5_ET","Early/Late",6.53443067287642e-09,4.37469612966087e-09,"Não seletivo","Both stages","MTG","Trazodone; LY03017","antagonist-like","Antagonist",1
"INPP5D",1,"VLMC","Early",3.00044147646894e-09,3.00044147646894e-09,"Seletivo","Early only","MTG",NA,NA,NA,NA
"JAK2",1,"VLMC","Early",2.75565498050935e-09,2.75565498050935e-09,"Seletivo","Early only","MTG","Baricitinib","antagonist-like","Inhibitor",2
"JAZF1",3,"Microglia-PVM, L5_6_NP, Chandelier","Early/Late",3.19123851920951e-09,2.91806899682058e-09,"Não seletivo","Both stages","MTG",NA,NA,NA,NA
"KIT",1,"Lamp5","Early/Late",4.57821854655159e-09,4.52569456967778e-09,"Seletivo","Both stages","MTG","Masitinib; Nilotinib; Dasatinib + Quercetin","antagonist-like","Inhibitor",2
"MAF",1,"Lamp5","Early",3.12246080492007e-09,3.12246080492007e-09,"Seletivo","Early only","MTG",NA,NA,NA,NA
"MAPT",4,"Sst, Chandelier, Sncg, L6b","Early/Late",3.46282569610313e-09,3.16952490367739e-09,"Não seletivo","Both stages","MTG","Buntanetap; Etalanetug + Lecanemab; AADvac1; AADvac1 + AAmAb; ARO-MAPT; BEY2153; BIIB080; BMS-986446; Etalanetug + Lecanemab (Ph2); JNJ-64042056; MK-2214; Posdinemab; VY7523; ADEL-Y01; ALN-5288; AS-S603; AV-1980R; BIIB080 (Ph1); DUVAX; NIO752; OLX-07010","antagonist-like","Translation Inhibitor; Monoclonal Antibody; Vaccine; RNAi (Silencer); Inhibitor; ASO (Silencer); Aggregation Inhibitor",1
"MGLL",1,"VLMC","Early",4.4108009968585e-09,4.4108009968585e-09,"Seletivo","Early only","MTG","BMS-986368","antagonist-like","Inhibitor",2
"MME",1,"L4_IT","Late",1.00445064261248e-08,1.00445064261248e-08,"Seletivo","Late only","MTG",NA,NA,NA,NA
"NCK2",1,"Microglia-PVM","Early",4.15119699205864e-09,4.15119699205864e-09,"Seletivo","Early only","MTG",NA,NA,NA,NA
"PDE5A",8,"L6_IT, L6_CT, L5_6_NP, Pvalb, L6_IT_Car3, L2_3_IT, L5_IT, L5_ET","Early/Late",1.244744452564e-08,5.35562282279292e-09,"Não seletivo","Both stages","MTG","AR1001; Tadalafil","antagonist-like","Inhibitor",2
"PLCG2",15,"L6_IT_Car3, Lamp5_Lhx6, Oligodendrocyte, VLMC, L6_CT, Sncg, L6b, L6_IT, Lamp5, Pax6, Astrocyte, L5_IT, L5_6_NP, Chandelier, L2_3_IT","Early/Late",1.30594235726249e-08,5.62228548920981e-09,"Não seletivo","Both stages","MTG",NA,NA,NA,NA
"ROCK2",2,"VLMC, Sncg","Early/Late",3.79565217244734e-09,3.29153324712738e-09,"Seletivo","Both stages","MTG","Fasudil","antagonist-like","Inhibitor",2
