cell_type	target	perb_score
123_Astro	WDR12	2.8587531296733e-11
123_Chandelier-MTG	WDR12	5.03096049355756e-10
123_L4-IT-MTG	WDR12	7.40427205594687e-11
123_L5-ET-MTG	WDR12	2.03281638322874e-10
123_L5-IT-MTG	WDR12	3.11153277690961e-10
123_L56-NP-MTG	WDR12	4.13103621307195e-10
123_L6-CT-MTG	WDR12	8.73200929728408e-10
123_L6-IT-Car3	WDR12	8.86139286973584e-11
123_L6-IT-MTG	WDR12	2.65847761254103e-10
123_L6b-MTG	WDR12	2.71049967449148e-10
123_Lamp5_Lhx6-MTG	WDR12	6.66102061465079e-11
123_Lamp5-MTG	WDR12	1.48398517685494e-10
123_microglia	WDR12	6.41515374411858e-10
123_Oligo-MTG	WDR12	1.22449157901172e-10
123_OPC-MTG	WDR12	2.63501361973844e-10
123_PAX6-MTG	WDR12	2.54078062611704e-10
123_Pvalb	WDR12	2.18739832716582e-10
123_Sncg-MTG	WDR12	4.06644585880213e-10
123_Sst-MTG	WDR12	6.22434106624284e-11
123_Vip-MTG	WDR12	5.35278898819534e-10
123_VLMC-MTG	WDR12	1.52064753537177e-10
456_Astro	WDR12	2.15017274963654e-10
456_Chandelier-MTG	WDR12	7.57577578147471e-11
456_L4-IT-MTG	WDR12	6.09085639630577e-10
456_L5-ET-MTG	WDR12	5.0121835986877e-11
456_L5-IT-MTG	WDR12	1.76449449567484e-10
456_L56-NP-MTG	WDR12	2.02517999231125e-10
456_L6-CT-MTG	WDR12	2.69599542545232e-10
456_L6-IT-Car3	WDR12	1.95277785020711e-10
456_L6-IT-MTG	WDR12	4.90265397854168e-11
456_L6b-MTG	WDR12	6.37423709032108e-11
456_Lamp5_Lhx6-MTG	WDR12	1.37036294251113e-10
456_Lamp5-MTG	WDR12	1.23112949987675e-10
456_microglia	WDR12	4.64809736166673e-10
456_Oligo-MTG	WDR12	1.20546581121813e-10
456_OPC-MTG	WDR12	9.68381520069728e-11
456_PAX6-MTG	WDR12	1.08621025215383e-10
456_Pvalb	WDR12	1.90965712208597e-10
456_Sncg-MTG	WDR12	2.76952503644204e-11
456_Sst-MTG	WDR12	2.10634311422486e-10
456_Vip-MTG	WDR12	1.48074301645604e-10
456_VLMC-MTG	WDR12	1.09039603086101e-10
123_Astro	INPP5D	3.04485950245454e-12
123_Chandelier-MTG	INPP5D	1.44634280979276e-10
123_L4-IT-MTG	INPP5D	8.87338300838859e-11
123_L5-ET-MTG	INPP5D	1.34933589616679e-09
123_L5-IT-MTG	INPP5D	4.49786996907538e-11
123_L56-NP-MTG	INPP5D	7.99043041819066e-11
123_L6-CT-MTG	INPP5D	1.41299163976713e-11
123_L6-IT-Car3	INPP5D	1.04659343973796e-10
123_L6-IT-MTG	INPP5D	5.92886082834226e-11
123_L6b-MTG	INPP5D	9.25531037961922e-11
123_Lamp5_Lhx6-MTG	INPP5D	1.05545164779803e-11
123_Lamp5-MTG	INPP5D	4.69100028080901e-10
123_microglia	INPP5D	2.39850216360536e-10
123_Oligo-MTG	INPP5D	7.73492267896798e-10
123_OPC-MTG	INPP5D	3.68452662985879e-09
123_PAX6-MTG	INPP5D	6.49479023314079e-12
