cell_type	target	perb_score
456_Micro	SORT1	4.86127726702186e-09
123_Micro	SORT1	3.46846585091404e-09
123_OPC	SORT1	2.20412647661981e-09
123_Oligo	SORT1	2.46781931761239e-09
456_Oligo	SORT1	3.2065816630441e-09
123_Astro	SORT1	3.91007131351713e-10
456_Endo	SORT1	5.94941558574776e-10
456_OPC	SORT1	1.08183117031312e-09
123_Inh	SORT1	9.33400990979381e-10
456_Astro	SORT1	3.07494067690241e-09
123_Exc	SORT1	7.05853744911078e-09
456_Inh	SORT1	5.57990375738173e-10
456_Exc	SORT1	5.62645853167057e-09
123_Endo	SORT1	8.03741016099574e-10
456_Micro	CR1	2.14234869703608e-10
123_Micro	CR1	1.15487149018046e-09
123_OPC	CR1	1.11076499342709e-17
123_Oligo	CR1	1.62096242683569e-09
456_Oligo	CR1	2.56146020495378e-10
123_Astro	CR1	3.46929643503425e-10
456_Endo	CR1	1.00037272546557e-11
456_OPC	CR1	1.02276962707364e-10
123_Inh	CR1	1.03608729898258e-10
456_Astro	CR1	5.83870433310953e-11
123_Exc	CR1	1.71840959453813e-11
456_Inh	CR1	5.97922068072147e-11
456_Exc	CR1	1.32526513376786e-11
123_Endo	CR1	5.09758741576093e-11
456_Micro	ADAM17	2.16084270660311e-09
123_Micro	ADAM17	1.80025244856283e-09
123_OPC	ADAM17	4.72998588918267e-10
123_Oligo	ADAM17	1.8571187643172e-09
456_Oligo	ADAM17	2.2957901788112e-10
123_Astro	ADAM17	3.21221409118797e-10
456_Endo	ADAM17	3.48055137077973e-10
456_OPC	ADAM17	9.88208846709962e-10
123_Inh	ADAM17	5.41204689745455e-10
456_Astro	ADAM17	7.81269152280483e-11
123_Exc	ADAM17	2.37056769880292e-11
456_Inh	ADAM17	4.52038941620597e-10
456_Exc	ADAM17	8.25407923538777e-10
123_Endo	ADAM17	1.95525910560283e-10
456_Micro	PRKD3	6.01897545027144e-10
123_Micro	PRKD3	1.31183503936433e-09
123_OPC	PRKD3	2.69964560450426e-10
123_Oligo	PRKD3	2.42402488765454e-10
456_Oligo	PRKD3	9.43972484842762e-10
123_Astro	PRKD3	8.94315133942278e-10
456_Endo	PRKD3	2.22515243429849e-10
456_OPC	PRKD3	1.02770957194753e-10
