cell_type	target	binding	perb_score
Early_Braak_Astrocyte	CACNA1C	antagonist	6.68259399923767e-10
Early_Braak_L6b	CACNA1C	antagonist	1.65834789155266e-09
Early_Braak_L2_3_IT	CACNA1C	antagonist	6.35709846576708e-10
Early_Braak_Sst	CACNA1C	antagonist	3.62090074264463e-10
Early_Braak_L6_IT	CACNA1C	antagonist	1.58583853970679e-09
Early_Braak_Lamp5_Lhx6	CACNA1C	antagonist	2.71924283124944e-09
Early_Braak_Microglia-PVM	CACNA1C	antagonist	5.22634562863398e-10
Early_Braak_L6_CT	CACNA1C	antagonist	2.91711003598207e-09
Early_Braak_Chandelier	CACNA1C	antagonist	2.34056383026084e-10
Early_Braak_L6_IT_Car3	CACNA1C	antagonist	4.41086150654467e-09
Early_Braak_L5_6_NP	CACNA1C	antagonist	3.43149149761576e-10
Early_Braak_OPC	CACNA1C	antagonist	8.33005705949988e-10
Early_Braak_L4_IT	CACNA1C	antagonist	4.4292722179624e-09
Early_Braak_Pax6	CACNA1C	antagonist	1.34611457478525e-09
Early_Braak_L5_IT	CACNA1C	antagonist	7.98491541977886e-10
Early_Braak_Oligodendrocyte	CACNA1C	antagonist	2.9569918098863e-12
Late_Braak_Endothelial	CACNA1C	antagonist	8.99281829390303e-10
Early_Braak_VLMC	CACNA1C	antagonist	7.76002629926648e-09
Early_Braak_Vip	CACNA1C	antagonist	2.9466937134716e-09
Early_Braak_Sncg	CACNA1C	antagonist	3.91585710936877e-09
Late_Braak_Astrocyte	CACNA1C	antagonist	1.37044240981225e-09
Late_Braak_Chandelier	CACNA1C	antagonist	1.59832567765119e-09
Early_Braak_Lamp5	CACNA1C	antagonist	1.56208071906792e-10
Early_Braak_Pvalb	CACNA1C	antagonist	1.68883176889857e-09
Late_Braak_L6_IT_Car3	CACNA1C	antagonist	9.92180013270313e-09
Late_Braak_L2_3_IT	CACNA1C	antagonist	3.51691748294497e-09
Late_Braak_Lamp5_Lhx6	CACNA1C	antagonist	2.6028726606995e-09
Late_Braak_L5_IT	CACNA1C	antagonist	4.67018552258024e-09
Late_Braak_L5_6_NP	CACNA1C	antagonist	7.37731153687509e-09
Late_Braak_Pax6	CACNA1C	antagonist	1.62416549738141e-09
Late_Braak_Lamp5	CACNA1C	antagonist	1.74151112479705e-10
Late_Braak_Sncg	CACNA1C	antagonist	4.55224716924433e-09
Late_Braak_L6_IT	CACNA1C	antagonist	3.45559916107439e-10
Late_Braak_L6_CT	CACNA1C	antagonist	4.38065606283544e-09
Late_Braak_L4_IT	CACNA1C	antagonist	2.34775659942819e-09
Late_Braak_Sst	CACNA1C	antagonist	2.21943198917659e-10
Late_Braak_OPC	CACNA1C	antagonist	2.83907898709167e-11
Late_Braak_L5_ET	CACNA1C	antagonist	1.46861926406977e-09
Late_Braak_Sst_Chodl	CACNA1C	antagonist	5.6624646287385e-09
Late_Braak_Oligodendrocyte	CACNA1C	antagonist	7.93617334706144e-10
Late_Braak_Pvalb	CACNA1C	antagonist	9.82326880856809e-10
Late_Braak_L6b	CACNA1C	antagonist	1.00933822903765e-08
Late_Braak_Vip	CACNA1C	antagonist	1.43581081563233e-09
Late_Braak_Microglia-PVM	CACNA1C	antagonist	5.2747886298877e-10
