cell_type	target	binding	perb_score
L5_ET_Late_APOE4_Neg	ALB	antagonist	7.08963920095585e-11
Endothelial_Late_APOE4_Neg	ALB	antagonist	3.37380303187403e-17
Chandelier_Early_APOE4_Neg	ALB	antagonist	1.12528407999721e-11
L4_IT_Early_APOE4_Neg	ALB	antagonist	1.50391532004353e-11
L5_IT_Early_APOE4_Neg	ALB	antagonist	7.34656889481598e-13
L5_6_NP_Late_APOE4_Neg	ALB	antagonist	5.35542519666549e-11
L2_3_IT_Early_APOE4_Neg	ALB	antagonist	6.75837981617881e-11
Immune_Late_APOE4_Pos	ALB	antagonist	6.24500451351651e-17
Astrocyte_Late_APOE4_Neg	ALB	antagonist	1.02574349661806e-11
L5_ET_Late_APOE4_Pos	ALB	antagonist	1.13546907189852e-10
L5_6_NP_Late_APOE4_Pos	ALB	antagonist	3.11859828279372e-11
Endothelial_Late_APOE4_Pos	ALB	antagonist	8.25829464247344e-12
L4_IT_Late_APOE4_Pos	ALB	antagonist	5.88086776967543e-11
Chandelier_Late_APOE4_Neg	ALB	antagonist	5.86454066013057e-15
Astrocyte_Early_APOE4_Neg	ALB	antagonist	8.16787916667742e-11
Immune_Early_APOE4_Neg	ALB	antagonist	3.62220895948012e-17
L5_IT_Late_APOE4_Neg	ALB	antagonist	3.31598009631596e-11
L2_3_IT_Late_APOE4_Neg	ALB	antagonist	1.29389172716885e-11
Immune_Late_APOE4_Neg	ALB	antagonist	3.87812005612467e-11
L4_IT_Late_APOE4_Neg	ALB	antagonist	1.50806339522625e-11
L5_6_NP_Early_APOE4_Neg	ALB	antagonist	7.83834342964888e-11
L2_3_IT_Late_APOE4_Pos	ALB	antagonist	3.38124260796809e-11
Astrocyte_Late_APOE4_Pos	ALB	antagonist	4.48189017818391e-11
L6b_Early_APOE4_Neg	ALB	antagonist	4.74646378168756e-11
Lamp5_Late_APOE4_Neg	ALB	antagonist	3.34872185120526e-11
Chandelier_Late_APOE4_Pos	ALB	antagonist	4.30683446033059e-11
L6_IT_Car3_Early_APOE4_Neg	ALB	antagonist	8.36229723881644e-11
Lamp5_Lhx6_Late_APOE4_Neg	ALB	antagonist	5.94605650219427e-11
L5_IT_Late_APOE4_Pos	ALB	antagonist	8.40252605913112e-11
Lamp5_Late_APOE4_Pos	ALB	antagonist	1.19874875723591e-11
L6_IT_Late_APOE4_Neg	ALB	antagonist	4.24411652283912e-11
L6_IT_Late_APOE4_Pos	ALB	antagonist	3.51341309408388e-11
L6_CT_Late_APOE4_Pos	ALB	antagonist	7.89342729663749e-11
Lamp5_Lhx6_Late_APOE4_Pos	ALB	antagonist	8.07923125918049e-11
Lamp5_Early_APOE4_Neg	ALB	antagonist	1.22747907243053e-10
Lamp5_Lhx6_Early_APOE4_Neg	ALB	antagonist	1.77844475687732e-12
L6_CT_Early_APOE4_Neg	ALB	antagonist	5.96054758975145e-11
L6_IT_Car3_Late_APOE4_Neg	ALB	antagonist	3.09326215959578e-11
OPC_Late_APOE4_Pos	ALB	antagonist	5.5026107173033e-11
L6b_Late_APOE4_Neg	ALB	antagonist	1.45661729283617e-11
L6b_Late_APOE4_Pos	ALB	antagonist	3.11285329328077e-11
Pax6_Early_APOE4_Neg	ALB	antagonist	9.81307786677359e-18
L6_IT_Early_APOE4_Neg	ALB	antagonist	1.54163221228952e-11
L6_CT_Late_APOE4_Neg	ALB	antagonist	1.02166682777215e-10
OPC_Late_APOE4_Neg	ALB	antagonist	1.18439747189172e-10
Oligodendrocyte_Late_APOE4_Neg	ALB	antagonist	1.8173846516733e-11
OPC_Early_APOE4_Neg	ALB	antagonist	6.97148094698297e-11
Oligodendrocyte_Early_APOE4_Neg	ALB	antagonist	1.83485326821872e-10
L6_IT_Car3_Late_APOE4_Pos	ALB	antagonist	3.88336514882192e-11
