cell_type	target	binding	perb_score
Early_Female_Pax6	ADRA2A	antagonist	4.59882522498142e-11
Early_Female_L5_6_NP	ADRA2A	antagonist	6.0507045427074e-16
Early_Female_Chandelier	ADRA2A	antagonist	1.56365861034638e-17
Early_Female_L6_IT	ADRA2A	antagonist	5.01720294573579e-11
Early_Female_Oligodendrocyte	ADRA2A	antagonist	8.15241164911485e-11
Early_Female_Sst	ADRA2A	antagonist	3.60726205824736e-10
Early_Male_Astrocyte	ADRA2A	antagonist	8.33054872528181e-11
Early_Female_OPC	ADRA2A	antagonist	3.93164988087538e-11
Early_Female_Sncg	ADRA2A	antagonist	7.11361039099979e-11
Early_Female_Lamp5	ADRA2A	antagonist	1.24316524655414e-11
Early_Female_Pvalb	ADRA2A	antagonist	1.66086666434404e-11
Early_Female_L6_CT	ADRA2A	antagonist	1.82932078085113e-10
Early_Female_Astrocyte	ADRA2A	antagonist	1.47556287534902e-11
Early_Female_L2_3_IT	ADRA2A	antagonist	5.59157553294195e-11
Early_Male_L6b	ADRA2A	antagonist	1.0157320896996e-11
Early_Male_L6_CT	ADRA2A	antagonist	1.36181646166573e-10
Early_Male_Chandelier	ADRA2A	antagonist	1.1827363762132e-11
Early_Female_Lamp5_Lhx6	ADRA2A	antagonist	5.32466864638642e-16
Early_Female_L6_IT_Car3	ADRA2A	antagonist	3.01749195986714e-10
Early_Male_L5_6_NP	ADRA2A	antagonist	1.62836178151562e-11
Early_Male_Immune	ADRA2A	antagonist	1.35550327117599e-11
Early_Female_Vip	ADRA2A	antagonist	5.0265561645194e-14
Early_Male_Lamp5_Lhx6	ADRA2A	antagonist	5.55482345099955e-11
Early_Male_L4_IT	ADRA2A	antagonist	2.66689832272155e-10
Early_Female_Immune	ADRA2A	antagonist	6.2616335537215e-12
Early_Female_L5_IT	ADRA2A	antagonist	1.85313786255332e-10
Early_Female_L4_IT	ADRA2A	antagonist	9.54817531503122e-11
Early_Male_L6_IT	ADRA2A	antagonist	1.87997834600078e-10
Early_Male_L5_IT	ADRA2A	antagonist	1.58897745538399e-10
Late_Female_Immune	ADRA2A	antagonist	1.76907777093865e-17
Early_Male_L2_3_IT	ADRA2A	antagonist	2.36363286929601e-11
Early_Male_OPC	ADRA2A	antagonist	1.64570318839533e-17
Early_Male_Lamp5	ADRA2A	antagonist	4.3549220793393e-11
Early_Male_Oligodendrocyte	ADRA2A	antagonist	5.25166984931154e-18
Early_Male_Sncg	ADRA2A	antagonist	3.5036865545559e-11
Late_Female_Endothelial	ADRA2A	antagonist	1.45448700736501e-10
Late_Female_Astrocyte	ADRA2A	antagonist	1.62377093593749e-11
Early_Male_Sst	ADRA2A	antagonist	4.97749721584465e-11
Late_Female_Chandelier	ADRA2A	antagonist	2.12028854685815e-11
Early_Male_Vip	ADRA2A	antagonist	7.11145127659601e-11
Late_Female_L5_ET	ADRA2A	antagonist	9.92462412553332e-11
Late_Female_L5_6_NP	ADRA2A	antagonist	4.25918247356505e-11
