"target","n_celltypes","top_celltypes","n_stages","top_stages","max_score","mean_score","selectivity","stage_pref","region"
"ABL1",1,"VLMC",1,"Late",3.94574972024577e-09,3.94574972024577e-09,"Seletivo","Late only","MTG"
"ADAMTS1",1,"VLMC",1,"Late",2.76120780917219e-09,2.76120780917219e-09,"Seletivo","Late only","MTG"
"ANK3",11,"Sst, L6_IT, L5_6_NP, Pax6, Oligodendrocyte, Vip, Lamp5, L6_CT, L4_IT, L5_ET, L6b",2,"Early/Late",7.6787786890926e-09,4.52288425652291e-09,"Não seletivo","Both stages","MTG"
"ANKH",1,"VLMC",1,"Early",3.19566389957956e-09,3.19566389957956e-09,"Seletivo","Early only","MTG"
"APOE",1,"Microglia-PVM",1,"Late",5.41105495477737e-09,5.41105495477737e-09,"Seletivo","Late only","MTG"
"BIN1",1,"Oligodendrocyte",1,"Early",4.31047441807049e-09,4.31047441807049e-09,"Seletivo","Early only","MTG"
"CACNA1C",12,"Lamp5_Lhx6, L6_CT, L6_IT_Car3, L4_IT, VLMC, Vip, Sncg, L2_3_IT, L5_IT, L5_6_NP, Sst_Chodl, L6b",2,"Early/Late",1.00933822903765e-08,5.49336828600602e-09,"Não seletivo","Both stages","MTG"
"CHRM2",4,"L6_IT_Car3, Pvalb, L4_IT, Sst_Chodl",2,"Early/Late",1.4335005905081e-08,7.89753840679989e-09,"Não seletivo","Both stages","MTG"
"CHRM3",15,"L6b, L2_3_IT, Sst, L6_CT, Chandelier, L6_IT_Car3, L4_IT, L5_IT, Vip, Sncg, Lamp5, Pax6, L6_IT, L5_ET, Sst_Chodl",2,"Early/Late",2.47193767994176e-08,8.18271862334346e-09,"Não seletivo","Both stages","MTG"
"CLU",5,"Astrocyte, L6_IT, Pvalb, OPC, L5_ET",2,"Early/Late",1.03423773502319e-08,4.39151839918033e-09,"Não seletivo","Both stages","MTG"
"CNR1",2,"Pax6, Sncg",2,"Early/Late",7.12325356526713e-09,4.70723092223554e-09,"Seletivo","Both stages","MTG"
"COX7C",2,"L6_IT, L5_ET",1,"Late",4.23994441198166e-09,3.47253013153003e-09,"Seletivo","Late only","MTG"
"CSF1R",1,"Microglia-PVM",1,"Early",3.05362348295026e-09,3.05362348295026e-09,"Seletivo","Early only","MTG"
"CTSB",2,"Microglia-PVM, VLMC",1,"Early",3.27287404463557e-09,3.1033382596064e-09,"Seletivo","Early only","MTG"
"DYRK1A",1,"VLMC",1,"Early",4.30292867604887e-09,4.30292867604887e-09,"Seletivo","Early only","MTG"
